,Name,InceptionTime,IT-MRM2,lambda,gamma,Improve
0,Adiac,0.829,0.821,0.500,0.500,-0.008
1,ArrowHead,0.834,0.863,0.500,0.500,0.029
2,Beef,0.700,0.767,0.250,0.500,0.067
3,BeetleFly,0.900,0.900,0.500,0.500,0.000
4,BirdChicken,0.900,0.900,0.000,0.500,0.000
5,Car,0.933,0.950,0.750,1.000,0.017
6,CBF,0.998,1.000,0.500,0.500,0.002
7,ChlorineConcentration,0.802,0.801,0.000,0.500,-0.001
8,CinCECGTorso,0.824,0.837,0.000,0.500,0.013
9,Coffee,1.000,1.000,0.500,0.500,0.000
10,Computers,0.788,0.812,0.000,1.000,0.024
11,CricketX,0.823,0.828,0.000,0.500,0.005
12,CricketY,0.813,0.818,0.500,0.500,0.005
13,CricketZ,0.859,0.867,0.500,0.500,0.008
14,DiatomSizeReduction,0.964,0.977,0.500,0.500,0.013
15,DistalPhalanxOutlineAgeGroup,0.741,0.748,0.750,0.000,0.007
16,DistalPhalanxOutlineCorrect,0.775,0.797,0.500,0.500,0.022
17,DistalPhalanxTW,0.691,0.712,0.500,0.500,0.022
18,Earthquakes,0.741,0.755,0.000,0.500,0.014
19,ECG200,0.890,0.920,0.500,0.500,0.030
20,ECG5000,0.941,0.944,0.500,0.500,0.003
21,ECGFiveDays,0.999,1.000,0.500,0.500,0.001
22,ElectricDevices,0.721,0.729,0.000,0.500,0.008
23,FaceAll,0.833,0.849,0.500,0.500,0.016
24,FaceFour,0.955,0.966,0.500,0.500,0.011
25,FacesUCR,0.956,0.980,0.500,0.500,0.024
26,FiftyWords,0.787,0.804,0.500,0.500,0.018
27,Fish,1.000,1.000,0.500,0.500,0.000
28,FordA,0.963,0.964,0.500,1.000,0.001
29,FordB,0.842,0.856,0.500,0.500,0.014
30,GunPoint,1.000,1.000,0.500,0.500,0.000
31,Ham,0.714,0.724,0.500,0.500,0.010
32,HandOutlines,0.957,0.959,0.500,0.500,0.003
33,Haptics,0.552,0.568,0.250,0.500,0.016
34,Herring,0.625,0.688,0.500,0.500,0.062
35,InlineSkate,0.375,0.381,0.500,0.500,0.005
36,InsectWingbeatSound,0.632,0.648,0.500,0.500,0.016
37,ItalyPowerDemand,0.952,0.958,0.500,0.500,0.006
38,LargeKitchenAppliances,0.875,0.901,0.500,0.500,0.027
39,Lightning2,0.803,0.803,0.000,0.500,0.000
40,Lightning7,0.795,0.836,0.500,0.500,0.041
41,Mallat,0.958,0.972,0.500,0.500,0.014
42,Meat,0.917,0.933,0.000,1.000,0.017
43,MedicalImages,0.764,0.778,0.500,0.500,0.013
44,MiddlePhalanxOutlineAgeGroup,0.539,0.558,0.500,0.500,0.019
45,MiddlePhalanxOutlineCorrect,0.804,0.832,0.500,0.500,0.027
46,MiddlePhalanxTW,0.506,0.532,0.500,0.500,0.026
47,MoteStrain,0.913,0.912,0.000,1.000,-0.001
48,NonInvasiveFetalECGThorax1,0.952,0.954,0.000,0.500,0.002
49,NonInvasiveFetalECGThorax2,0.959,0.961,0.500,0.500,0.002
50,OliveOil,0.833,0.867,0.000,1.000,0.033
51,OSULeaf,0.938,0.946,0.500,0.500,0.008
52,PhalangesOutlinesCorrect,0.843,0.848,0.500,0.500,0.006
53,Phoneme,0.330,0.332,0.000,0.500,0.002
54,Plane,1.000,1.000,0.500,0.500,0.000
55,ProximalPhalanxOutlineAgeGroup,0.834,0.859,0.500,0.500,0.024
56,ProximalPhalanxOutlineCorrect,0.907,0.914,0.500,0.500,0.007
57,ProximalPhalanxTW,0.800,0.795,0.750,1.000,-0.005
58,RefrigerationDevices,0.507,0.515,0.250,0.000,0.008
59,ScreenType,0.549,0.555,0.250,0.000,0.005
60,ShapeletSim,0.556,0.600,0.000,0.500,0.044
61,ShapesAll,0.912,0.910,0.000,1.000,-0.002
62,SmallKitchenAppliances,0.715,0.731,0.500,0.500,0.016
63,SonyAIBORobotSurface1,0.882,0.995,0.500,0.500,0.113
64,SonyAIBORobotSurface2,0.972,0.993,0.500,0.500,0.021
65,StarLightCurves,0.975,0.980,0.500,0.500,0.005
66,Strawberry,0.970,0.973,0.500,0.500,0.003
67,SwedishLeaf,0.965,0.971,0.500,0.500,0.006
68,Symbols,0.963,0.979,0.500,0.500,0.016
69,SyntheticControl,0.997,1.000,0.250,0.000,0.003
70,ToeSegmentation1,0.974,0.974,0.500,0.500,0.000
71,ToeSegmentation2,0.900,0.962,0.500,0.500,0.062
72,Trace,1.000,1.000,0.500,0.500,0.000
73,TwoLeadECG,0.999,1.000,0.250,0.000,0.001
74,TwoPatterns,1.000,1.000,0.500,0.500,0.000
75,UWaveGestureLibraryAll,0.942,0.943,0.750,1.000,0.001
76,UWaveGestureLibraryX,0.815,0.812,0.500,0.500,-0.002
77,UWaveGestureLibraryY,0.745,0.765,0.500,0.500,0.020
78,UWaveGestureLibraryZ,0.783,0.787,0.500,0.500,0.004
79,Wafer,1.000,1.000,0.000,0.500,0.000
80,Wine,0.833,0.833,0.000,1.000,0.000
81,WordSynonyms,0.724,0.738,0.500,0.500,0.014
82,Worms,0.831,0.844,0.500,0.500,0.013
83,WormsTwoClass,0.701,0.740,0.500,0.500,0.039
84,Yoga,0.899,0.900,0.500,0.500,0.001
