,Name,origin,tcrm2,lambda,gamma,Improve
0,ArticularyWordRecognition,0.987,0.993,0.500,0.500,0.007
1,AtrialFibrillation,0.267,0.333,0.000,0.500,0.067
2,BasicMotions,1.000,1.000,0.500,0.500,0.000
3,CharacterTrajectories,0.996,0.996,0.000,1.000,0.000
4,Cricket,1.000,1.000,0.750,1.000,0.000
5,DuckDuckGeese,0.600,0.660,0.500,0.500,0.060
6,EigenWorms,0.893,0.924,0.250,1.000,0.031
7,Epilepsy,0.971,0.978,0.500,0.500,0.007
8,EthanolConcentration,0.354,0.365,0.750,1.000,0.011
9,ERing,0.922,0.948,0.500,0.500,0.026
10,FaceDetection,0.531,0.535,0.500,0.500,0.004
11,FingerMovements,0.510,0.520,0.500,0.500,0.010
12,HandMovementDirection,0.297,0.324,0.500,0.500,0.027
13,Handwriting,0.593,0.600,0.000,0.500,0.007
14,Heartbeat,0.776,0.771,0.500,0.500,-0.005
15,InsectWingbeat,0.672,0.676,0.500,0.500,0.004
16,JapaneseVowels,0.995,0.995,0.500,0.500,0.000
17,Libras,0.978,0.978,0.500,0.500,0.000
18,LSST,0.628,0.640,0.000,0.000,0.013
19,MotorImagery,0.530,0.580,0.500,0.500,0.050
20,NATOPS,0.956,0.961,0.000,0.000,0.006
21,PenDigits,0.985,0.985,0.000,1.000,0.001
22,PEMS-SF,0.792,0.798,0.500,0.000,0.006
23,PhonemeSpectra,0.302,0.298,0.000,1.000,-0.004
24,RacketSports,0.882,0.888,0.500,0.500,0.007
25,SelfRegulationSCP1,0.802,0.823,0.500,0.500,0.020
26,SelfRegulationSCP2,0.533,0.539,0.500,0.500,0.006
27,SpokenArabicDigits,0.995,0.995,0.000,1.000,0.000
28,StandWalkJump,0.333,0.467,0.500,0.500,0.133
29,UWaveGestureLibrary,0.878,0.894,0.500,0.500,0.016
